City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
246,San Francisco,US,2022-07-13 17:23:26,37.7749,-122.4194,73.99,86,75,7.0
247,Ranong,TH,2022-07-13 17:23:26,9.9658,98.6348,78.42,83,100,11.01
248,Namibe,AO,2022-07-13 17:23:27,-15.1961,12.1522,64.76,84,8,6.4
249,Brae,GB,2022-07-13 17:23:27,60.3964,-1.353,53.51,81,98,21.14
250,Marivan,IR,2022-07-13 17:23:27,35.5219,46.176,84.54,16,21,2.66
251,Challans,FR,2022-07-13 17:22:41,46.8436,-1.8749,95.92,34,0,13.29
252,Harper,LR,2022-07-13 17:23:28,4.375,-7.7169,77.02,78,90,11.05
253,Vardo,NO,2022-07-13 17:23:28,70.3705,31.1107,53.58,94,100,3.44
254,Nola,IT,2022-07-13 17:23:28,40.922,14.5329,85.91,33,0,5.64
255,Kingisepp,RU,2022-07-13 17:23:29,59.3733,28.6134,70.56,55,20,4.92
256,Santa Margherita Ligure,IT,2022-07-13 17:23:29,44.3346,9.212,88.02,57,25,1.01
257,Christchurch,NZ,2022-07-13 17:23:29,-43.5333,172.6333,48.9,54,100,10.36
258,Luderitz,,2022-07-13 17:23:30,-26.6481,15.1594,59.97,61,0,21.16
259,Ebolowa,CM,2022-07-13 17:23:30,2.9,11.15,71.85,96,81,3.71
260,Perigueux,FR,2022-07-13 17:23:30,45.1833,0.7167,101.08,13,4,5.88
261,Mantua,IT,2022-07-13 17:22:50,45.1667,10.7833,91.09,44,3,6.2
262,Mount Isa,AU,2022-07-13 17:23:31,-20.7333,139.5,51.57,43,1,11.5
263,Esil,KZ,2022-07-13 17:23:31,51.9556,66.4042,71.42,68,24,9.22
264,Itaituba,BR,2022-07-13 17:23:31,-4.2761,-55.9836,93.36,49,40,5.75
265,Ternate,ID,2022-07-13 17:23:32,0.8,127.4,79.77,81,90,3.22
266,Kailua,US,2022-07-13 17:23:32,21.4022,-157.7394,78.78,86,100,12.66
267,Tutoia,BR,2022-07-13 17:21:12,-2.7619,-42.2744,85.28,64,92,10.6
268,Salalah,OM,2022-07-13 17:22:29,17.0151,54.0924,78.89,94,40,5.75
269,Murshidabad,IN,2022-07-13 17:23:32,24.1833,88.2667,84.94,69,1,10.96
270,Marzuq,YE,2022-07-13 17:23:33,14.4,46.4667,82.6,47,95,2.62
271,Biak,ID,2022-07-13 17:23:33,-0.9131,122.8766,74.84,89,99,6.06
272,La Rioja,ES,2022-07-13 17:24:34,42.25,-2.5,92.98,13,62,10.42
273,Aykhal,RU,2022-07-13 17:24:34,66.0,111.5,45.48,85,83,7.45
274,Grand Gaube,MU,2022-07-13 17:24:34,-20.0064,57.6608,70.2,78,31,1.99
275,Champerico,GT,2022-07-13 17:22:27,14.3,-91.9167,91.94,67,98,3.71
276,Bethel,US,2022-07-13 17:24:35,41.3712,-73.414,88.74,51,20,5.75
277,Qaqortoq,GL,2022-07-13 17:24:35,60.7167,-46.0333,46.36,76,99,5.73
278,Malakal,SS,2022-07-13 17:24:35,9.5334,31.6605,75.94,80,91,5.06
279,Rio Gallegos,AR,2022-07-13 17:24:36,-51.6226,-69.2181,32.05,100,75,3.44
280,Ulaanbaatar,MN,2022-07-13 17:20:00,47.9077,106.8832,64.53,42,40,6.71
281,Olafsvik,IS,2022-07-13 17:24:36,64.8945,-23.7142,49.3,78,82,11.59
282,Oistins,BB,2022-07-13 17:23:42,13.0667,-59.5333,85.51,78,75,16.11
283,Sistranda,NO,2022-07-13 17:24:36,63.7256,8.834,55.36,73,58,20.87
284,Faya,SA,2022-07-13 17:24:37,18.3851,42.4509,66.31,63,94,6.22
285,Bandarbeyla,SO,2022-07-13 17:24:37,9.4942,50.8122,78.76,71,92,26.75
286,Druzhba,UA,2022-07-13 17:24:37,52.0428,33.9453,55.54,87,100,15.26
287,Magistralnyy,RU,2022-07-13 17:24:38,56.1725,107.4458,52.2,97,78,4.38
288,Muros,ES,2022-07-13 17:24:38,42.7762,-9.0603,86.09,44,87,7.43
289,Hirara,JP,2022-07-13 17:24:38,24.8,125.2833,84.2,80,100,14.16
290,Hanzhong,CN,2022-07-13 17:24:39,33.0728,107.0303,76.33,93,100,2.59
