City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Ingham,US,42.6,-84.3833,78.75,63,40,6.91,scattered clouds
330,Dalbandin,PK,28.8947,64.4101,87.44,42,99,8.88,overcast clouds
331,Kharitonovo,RU,61.4009,47.4978,62.35,99,75,4.54,broken clouds
332,Lasa,IT,46.6166,10.7002,65.57,85,11,4.65,few clouds
333,Zapolyarnyy,RU,69.4154,30.8136,69.08,73,100,2.68,overcast clouds
334,Puri,IN,19.8,85.85,81.12,83,95,11.99,overcast clouds
335,Yenagoa,NG,4.9247,6.2642,74.39,89,97,4.54,overcast clouds
336,Russell,US,32.3502,-85.1999,92.97,62,0,9.22,clear sky
337,Liepaja,LV,56.5419,21.0367,58.98,77,0,13.8,clear sky
338,Dedza,MW,-14.3779,34.3332,52.38,62,68,4.99,broken clouds
339,Antofagasta,CL,-23.65,-70.4,58.64,68,0,6.71,clear sky
340,Ilulissat,GL,69.2167,-51.1,53.62,47,20,5.75,few clouds
341,Karratha,AU,-20.7377,116.8463,63.84,46,2,5.41,clear sky
342,Maralal,KE,1.0968,36.698,61.07,67,100,9.66,overcast clouds
343,Padang,ID,-0.9492,100.3543,77.81,87,95,2.84,overcast clouds
344,Longyearbyen,SJ,78.2186,15.6401,57.04,62,75,14.97,broken clouds
345,Harper,LR,4.375,-7.7169,74.75,85,100,9.71,overcast clouds
346,Detchino,RU,54.8092,36.3075,54.05,91,21,6.58,few clouds
347,Christchurch,NZ,-43.5333,172.6333,32.92,80,30,3.44,scattered clouds
